date,expiry,type,entry_ts,atm,lot,short_strike,long_strike,credit,margin,spot_entry,exit_ts,exit_reason,gross_pnl,charges,net_pnl
2025-03-25,2025-03-27,bull_put,2025-03-25 10:20:00,23800,75,23800,23400,98.45,22616.25,23798.2,2025-03-26 15:01:00,TIME,-12337.500000000004,123.141378905,-12460.641378905004
2025-03-27,2025-03-27,bull_put,2025-03-27 10:24:00,23600,75,23600,23200,22.65,28301.25,23614.95,2025-03-27 15:01:00,TIME,1016.2499999999998,97.85228512249999,918.3977148774998
2025-03-28,2025-04-03,bull_put,2025-03-28 10:20:00,23550,75,23550,23150,99.5,22537.5,23535.6,2025-04-01 15:01:00,TIME,-13758.750000000004,129.0715166525,-13887.821516652504
2025-04-02,2025-04-03,bull_put,2025-04-02 10:21:00,23250,75,23250,22850,68.65,24851.25,23254.0,2025-04-03 15:01:00,TIME,4871.25,103.5702308825,4767.6797691175
2025-04-04,2025-04-09,bull_put,2025-04-04 10:19:00,22950,75,22950,22550,103.85,22211.25,22974.0,2025-04-07 15:01:00,TIME,-16642.499999999993,199.37831258000003,-16841.878312579993
2025-04-08,2025-04-09,bear_call,2025-04-08 10:17:00,22400,75,22400,22800,134.25,19931.25,22386.9,2025-04-09 15:01:00,TIME,9926.25,112.1359157675,9814.1140842325
2025-04-11,2025-04-17,bull_put,2025-04-11 10:16:00,22850,75,22850,22450,124.99999999999999,20625.0,22841.1,2025-04-15 15:01:00,TIME,8819.999999999998,122.78516429000001,8697.214835709998
2025-04-16,2025-04-17,bear_call,2025-04-16 10:16:00,23350,75,23350,23750,47.75,26418.75,23343.3,2025-04-17 15:01:00,TIME,-26385.0,127.92892572500001,-26512.928925725
2025-04-21,2025-04-24,bear_call,2025-04-21 10:22:00,24000,75,24000,24400,125.14999999999999,20613.75,24020.05,2025-04-22 15:01:00,TIME,-4451.250000000001,122.4521606675,-4573.702160667501
2025-04-23,2025-04-24,bull_put,2025-04-23 10:20:00,24200,75,24200,23800,65.75,25068.75,24218.3,2025-04-24 15:01:00,TIME,4875.0,102.920213915,4772.079786085
2025-04-25,2025-04-30,bear_call,2025-04-25 10:17:00,24000,75,24000,24400,157.5,18187.5,24016.9,2025-04-28 15:01:00,TIME,-10320.000000000002,141.15125312,-10461.151253120002
2025-04-29,2025-04-30,bear_call,2025-04-29 10:20:00,24300,75,24300,24700,80.2,23985.0,24319.0,2025-04-30 15:01:00,TIME,-540.0000000000002,106.93778318,-646.9377831800002
2025-05-02,2025-05-08,bear_call,2025-05-02 10:16:00,24550,75,24550,24950,172.39999999999998,17070.0,24568.2,2025-05-05 15:01:00,TIME,8868.749999999998,123.08418248749999,8745.665817512498
2025-05-06,2025-05-08,bear_call,2025-05-06 10:18:00,24400,75,24400,24800,61.190000000000005,25410.75,24384.15,2025-05-07 15:01:00,TIME,1743.0000000000007,103.662750137,1639.3372498630006
2025-05-08,2025-05-08,bull_put,2025-05-08 10:22:00,24400,75,24400,24000,24.849999999999998,28136.25,24405.0,2025-05-08 15:01:00,TIME,-7496.25,101.6991243425,-7597.9491243425
2025-05-09,2025-05-15,bear_call,2025-05-09 10:21:00,24050,75,24050,24450,169.64999999999998,17276.25,24031.5,2025-05-12 15:01:00,TIME,-14396.249999999995,212.7480498875,-14608.998049887494
2025-05-13,2025-05-15,bull_put,2025-05-13 10:17:00,24800,75,24800,24400,138.31,19626.75,24783.85,2025-05-14 15:01:00,TIME,-4064.250000000002,128.15710472450002,-4192.407104724502
2025-05-15,2025-05-15,bear_call,2025-05-15 10:21:00,24550,75,24550,24950,66.34,25024.499999999996,24540.15,2025-05-15 15:01:00,TIME,-24859.500000000004,130.88154891199997,-24990.381548912002
2025-05-16,2025-05-22,bear_call,2025-05-16 10:24:00,25000,75,25000,25400,133.5,19987.5,24994.4,2025-05-19 15:01:00,TIME,2804.9999999999995,123.332727275,2681.6672727249997
2025-05-20,2025-05-22,bull_put,2025-05-20 10:23:00,24900,75,24900,24500,99.75,22518.75,24894.65,2025-05-21 15:01:00,TIME,-3168.7500000000023,116.85559070750001,-3285.6055907075024
2025-05-22,2025-05-22,bull_put,2025-05-22 10:17:00,24600,75,24600,24200,47.010000000000005,26474.25,24611.15,2025-05-22 15:01:00,TIME,2843.2500000000005,100.0169541395,2743.2330458605006
2025-05-23,2025-05-29,bear_call,2025-05-23 10:17:00,24800,75,24800,25200,160.81,17939.25,24796.5,2025-05-26 15:01:00,TIME,-4686.750000000003,146.8246573295,-4833.574657329503
2025-05-27,2025-05-29,bear_call,2025-05-27 10:17:00,24750,75,24750,25150,147.7,18922.5,24755.65,2025-05-28 15:01:00,TIME,3213.7499999999995,126.7622635925,3086.9877364074996
2025-05-29,2025-05-29,bear_call,2025-05-29 10:31:00,24750,75,24750,25150,56.61,25754.25,24762.45,2025-05-29 15:01:00,TIME,308.24999999999994,102.8936955845,205.35630441549995
2025-05-30,2025-06-05,bear_call,2025-05-30 10:16:00,24800,75,24800,25200,138.75,19593.75,24777.5,2025-06-02 15:01:00,TIME,-258.75000000000125,132.92104421750003,-391.6710442175013
2025-06-03,2025-06-05,bull_put,2025-06-03 10:17:00,24650,75,24650,24250,135.7,19822.5,24672.25,2025-06-04 15:01:00,TIME,3712.499999999999,119.98733756000001,3592.512662439999
